alpha	RSME	lambda	SE
0.0	0.235702260396	0.0	0.0
0.0	0.235702260396	0.1	0.0
0.0	0.235702260396	0.2	0.0
0.0	0.235702260396	0.3	0.0
0.0	0.235702260396	0.4	0.0
0.0	0.235702260396	0.5	0.0
0.0	0.235702260396	0.6	0.0
0.0	0.235702260396	0.7	0.0
0.0	0.235702260396	0.8	0.0
0.0	0.235702260396	0.9	0.0
0.0	0.235702260396	1.0	0.0
0.05	0.174724074587	0.0	0.000219815910472
0.05	0.171815958007	0.1	0.00025033961124
0.05	0.168737845769	0.2	0.000291732635155
0.05	0.165483322931	0.3	0.000353787350936
0.05	0.162063863812	0.4	0.000449346615305
0.05	0.158529427352	0.5	0.00059436933641
0.05	0.1550150897	0.6	0.000812714037483
0.05	0.151859370722	0.7	0.00114985303923
0.05	0.149968024619	0.8	0.00170664852645
0.05	0.152409730624	0.9	0.0027423799835
0.05	0.176698843661	1.0	0.005375843684
0.1	0.130219307048	0.0	0.000814412314336
0.1	0.126328225734	0.1	0.000927761992515
0.1	0.122423501394	0.2	0.00107194135153
0.1	0.118597391503	0.3	0.00126046809253
0.1	0.115017628413	0.4	0.00151246346916
0.1	0.111983694755	0.5	0.00185488445315
0.1	0.110040596544	0.6	0.00232830782662
0.1	0.110244582822	0.7	0.00299779886438
0.1	0.114965043144	0.8	0.00397152347655
0.1	0.131337450397	0.9	0.00547140331681
0.1	0.192377227957	1.0	0.00894950594114
0.15	0.101309988435	0.0	0.00173973239053
0.15	0.0979081980858	0.1	0.00194159327362
0.15	0.0949007711153	0.2	0.00219435885897
0.15	0.0924997137467	0.3	0.00250483353182
0.15	0.0910582769356	0.4	0.00288319985778
0.15	0.0911340506947	0.5	0.00334426617843
0.15	0.0935964780885	0.6	0.00391624523829
0.15	0.0999167263434	0.7	0.00465151479339
0.15	0.11334204794	0.8	0.0056204787027
0.15	0.143581569741	0.9	0.00704892510011
0.15	0.232570610504	1.0	0.0116314435713
0.2	0.0882885048362	0.0	0.00286535117209
0.2	0.0861446628127	0.1	0.00306482573031
0.2	0.0850604305023	0.2	0.00333293675096
0.2	0.085271015004	0.3	0.00364628711009
0.2	0.0871509329687	0.4	0.0040063724391
0.2	0.0911672118436	0.5	0.00443973346688
0.2	0.0981036945362	0.6	0.00497396317723
0.2	0.109529957186	0.7	0.00563902862473
0.2	0.129287397844	0.8	0.0064980043711
0.2	0.169608637377	0.9	0.0078956682394
0.2	0.284300463901	1.0	0.0149669062042
0.25	0.0914705076941	0.0	0.00415288557618
0.25	0.0900458897916	0.1	0.00407326699637
0.25	0.0906866446723	0.2	0.00419129402288
0.25	0.0930790790804	0.3	0.00441988044077
0.25	0.0973013311374	0.4	0.0047330161535
0.25	0.103718673977	0.5	0.00513027174761
0.25	0.113165005273	0.6	0.0056171170067
0.25	0.127474572974	0.7	0.00622047960558
0.25	0.151384739773	0.8	0.00704762298524
0.25	0.200768387762	0.9	0.00861109099429
0.25	0.346141555926	1.0	0.0198359527183
0.3	0.110197458807	0.0	0.00652310298486
0.3	0.106045081215	0.1	0.00535575583816
0.3	0.106008653326	0.2	0.0050678131177
0.3	0.108705639061	0.3	0.00514907908089
0.3	0.113723522703	0.4	0.00538810674448
0.3	0.121174947054	0.5	0.0057280696676
0.3	0.131886878009	0.6	0.00616946984577
0.3	0.148098743915	0.7	0.00676064453958
0.3	0.176003363152	0.8	0.00765043094364
0.3	0.235989201435	0.9	0.00962717854297
0.3	0.418150050653	1.0	0.0263412826795
0.35	0.154104161961	0.0	0.0140523300263
0.35	0.132402841189	0.1	0.00912106328367
0.35	0.127869369731	0.2	0.00695486294395
0.35	0.128848510546	0.3	0.00626018219636
0.35	0.133365823386	0.4	0.00622579141177
0.35	0.141040621326	0.5	0.0064725626026
0.35	0.152617520978	0.6	0.00689729242084
0.35	0.170831405087	0.7	0.00756514550748
0.35	0.203567204952	0.8	0.00872707166856
0.35	0.276634085353	0.9	0.0115394429892
0.35	0.50091179549	1.0	0.0347143924047
0.4	0.281259011899	0.0	0.0410663871786
0.4	0.190826953015	0.1	0.0202415242436
0.4	0.161523591494	0.2	0.0128040752939
0.4	0.156158173633	0.3	0.00935565112213
0.4	0.158232015705	0.4	0.00803836078585
0.4	0.164997434049	0.5	0.00786407141778
0.4	0.17711852262	0.6	0.00826909642408
0.4	0.197829607852	0.7	0.00920155280106
0.4	0.23657680329	0.8	0.0110742570477
0.4	0.325419151287	0.9	0.0153705403161
0.4	0.599482909374	1.0	0.0458522711934
0.45	0.618100156207	0.0	0.130789118207
0.45	0.327491091645	0.1	0.0522234026157
0.45	0.229557537923	0.2	0.0272357962601
0.45	0.202452999424	0.3	0.0175277986343
0.45	0.195533258665	0.4	0.0132793594386
0.45	0.198907941073	0.5	0.011620676688
0.45	0.210702709839	0.6	0.0116024545072
0.45	0.234291068863	0.7	0.0129306021578
0.45	0.280703673621	0.8	0.0160192142692
0.45	0.388312591685	0.9	0.0226064249589
0.45	0.735137771497	1.0	0.0620079151726
0.5	1.4456203416	0.0	0.378868103336
0.5	0.637036781273	0.1	0.134009959048
0.5	0.362483132795	0.2	0.0581063762876
0.5	0.290660487019	0.3	0.034292283495
0.5	0.263941455526	0.4	0.0255402522523
0.5	0.256706463383	0.5	0.0214434217502
0.5	0.264991895528	0.6	0.0200872638208
0.5	0.291567711024	0.7	0.0213885933494
0.5	0.348480235211	0.8	0.0259820169127
0.5	0.480526074158	0.9	0.035986619933
0.5	0.960363045162	1.0	0.0923702312592
0.55	3.29409840012	0.0	0.971474305581
0.55	1.30026571332	0.1	0.324363038307
0.55	0.617959198042	0.2	0.119357406061
0.55	0.457174148635	0.3	0.0663801237071
0.55	0.393766428157	0.4	0.054446378302
0.55	0.367037485761	0.5	0.0476027172204
0.55	0.36569589342	0.6	0.0432815837155
0.55	0.393312282436	0.7	0.0431906275458
0.55	0.465398198994	0.8	0.0492776102007
0.55	0.634919845794	0.9	0.0652731582757
0.55	1.34726970815	1.0	0.168063260596
0.6	7.03828963406	0.0	2.23061761332
0.6	2.65744752199	0.1	0.731305559235
0.6	1.13757352957	0.2	0.241067018598
0.6	0.788276884279	0.3	0.132898108308
0.6	0.643962681095	0.4	0.125733621276
0.6	0.582723124723	0.5	0.116530739223
0.6	0.559607352861	0.6	0.106382266513
0.6	0.587765957439	0.7	0.102159164097
0.6	0.686747374722	0.8	0.109861010698
0.6	0.920713348889	0.9	0.137777084733
0.6	2.0373007686	1.0	0.346061810182
