alpha	RSME	lambda	SE
0.0	0.235702260396	1e-06	0.0
0.05	0.174488885575	1e-06	0.00020391230528
0.1	0.129179656662	1e-06	0.000741748915085
0.15	0.0989356868026	1e-06	0.00161462691273
0.2	0.0838676859865	1e-06	0.00278903191557
0.25	0.0844811477276	1e-06	0.00425104485627
0.3	0.102103200674	1e-06	0.00641690463019
0.35	0.151010463866	1e-06	0.0150280077689
0.4	0.281492729469	1e-06	0.0574223611611
0.45	0.608264977827	1e-06	0.184481350702
0.5	1.37335553852	1e-06	0.482570971607
0.55	3.05024982907	1e-06	1.08894686787
0.6	6.49324818226	1e-06	2.24843930913
0.0	0.235702260396	0.3	0.0
0.05	0.165168688148	0.3	0.000286081026882
0.1	0.117220151882	0.3	0.00106798762828
0.15	0.0893844704757	0.3	0.00220340435424
0.2	0.0800559869439	0.3	0.00329022109407
0.25	0.0860502163216	0.3	0.00410771560269
0.3	0.100698597271	0.3	0.00506854523106
0.35	0.12272283121	0.3	0.00637252470935
0.4	0.158306371837	0.3	0.00964676529112
0.45	0.221716501771	0.3	0.0226889275894
0.5	0.343896022614	0.3	0.05882192235
0.55	0.573096457751	0.3	0.137023537227
0.6	0.981575114624	0.3	0.280453635381
0.0	0.235702260396	0.8	0.0
0.05	0.149014925131	0.8	0.00127990472354
0.1	0.113531454178	0.8	0.00320462068639
0.15	0.113252481646	0.8	0.00483111052655
0.2	0.131714571791	0.8	0.00586323994183
0.25	0.156979555161	0.8	0.00662244991457
0.3	0.18507269141	0.8	0.00731787965103
0.35	0.21562753764	0.8	0.00833528648843
0.4	0.25096749134	0.8	0.0108765410518
0.45	0.295796378775	0.8	0.018378753389
0.5	0.359704074834	0.8	0.0359461949598
0.55	0.463066765611	0.8	0.0700122040156
0.6	0.638605730927	0.8	0.12961531782
0.0	0.235702260396	1.0	0.0
0.05	0.171378545721	1.0	0.00467375220451
0.1	0.189069437982	1.0	0.00868039072476
0.15	0.238732164975	1.0	0.0116080581823
0.2	0.299112428247	1.0	0.0147428008384
0.25	0.366392573644	1.0	0.0188329008533
0.3	0.439828811902	1.0	0.0248959568972
0.35	0.524877413309	1.0	0.0333885032626
0.4	0.630808030099	1.0	0.0457719303164
0.45	0.769692632333	1.0	0.0654011332969
0.5	0.955510036358	1.0	0.0979203210514
0.55	1.2286432439	1.0	0.152646492057
0.6	1.70892471285	1.0	0.250288663686
