alpha	RSME	lambda	SE
0.0	0.235702260396	0.0	1.96754058881e-18
0.05	0.174928222566	0.0	0.00019182039944
0.1	0.130908991862	0.0	0.000699709625076
0.15	0.103010683114	0.0	0.00149178456223
0.2	0.0912038853824	0.0	0.00242598031437
0.25	0.0954939418092	0.0	0.00343337684576
0.3	0.114890306313	0.0	0.00514032175632
0.35	0.153924471245	0.0	0.0102946696024
0.4	0.249456113261	0.0	0.0287148622184
0.45	0.507091549478	0.0	0.0905658471615
0.5	1.17174515512	0.0	0.280261385574
0.55	2.78181979173	0.0	0.810802615619
0.6	6.48595036158	0.0	2.1705294583
0.0	0.235702260396	0.3	1.96754058881e-18
0.05	0.166005323527	0.3	0.000290192595806
0.1	0.120391701703	0.3	0.00108200990261
0.15	0.0960649657064	0.3	0.00216190532614
0.2	0.0903034118405	0.3	0.00314364904633
0.25	0.0991518985158	0.3	0.00375390057243
0.3	0.115733105584	0.3	0.00421334072938
0.35	0.136909171338	0.3	0.00488136212381
0.4	0.164694035599	0.3	0.00671738124395
0.45	0.212340946483	0.3	0.01271884651
0.5	0.315859063664	0.3	0.0343403503446
0.55	0.557501883273	0.3	0.101595257388
0.6	1.10167166077	0.3	0.281815855201
0.0	0.235702260396	0.8	1.96754058881e-18
0.05	0.153675004872	0.8	0.00132276146489
0.1	0.123960580266	0.8	0.00330884104193
0.15	0.126449275606	0.8	0.00474645518924
0.2	0.145510060689	0.8	0.00546348944248
0.25	0.169490019531	0.8	0.00588966659177
0.3	0.194557860397	0.8	0.00630834135842
0.35	0.221167383867	0.8	0.00683899249897
0.4	0.251550772551	0.8	0.00770167251673
0.45	0.291043458776	0.8	0.00968665557349
0.5	0.352511726776	0.8	0.0165154404349
0.55	0.460426372672	0.8	0.0395367514114
0.6	0.664827890072	0.8	0.100207466451
0.0	0.235702260396	1.0	1.96754058881e-18
0.05	0.184400672237	1.0	0.00415287831809
0.1	0.208307973185	1.0	0.00693682589661
0.15	0.25449383726	1.0	0.00931705969517
0.2	0.306930850653	1.0	0.0124986682593
0.25	0.362777258336	1.0	0.0168232055126
0.3	0.423921595412	1.0	0.0222953557484
0.35	0.495427894183	1.0	0.0288480457643
0.4	0.58602964553	1.0	0.0372125455097
0.45	0.716770848297	1.0	0.0500812491284
0.5	0.92880145121	1.0	0.0752184346781
0.55	1.32491534714	1.0	0.136251330564
0.6	2.09802600333	1.0	0.306269330436
