alpha	RSME	lambda	SE
0.0	0.235702260396	0.0	0.0
0.05	0.174946216728	0.0	0.000214810027454
0.1	0.131120309834	0.0	0.000799317420779
0.15	0.103522052441	0.0	0.00170974810848
0.2	0.091902828933	0.0	0.00279010145794
0.25	0.0957427602603	0.0	0.00399842646532
0.3	0.120554326216	0.0	0.00855215621482
0.35	0.193320695737	0.0	0.029924130023
0.4	0.396322112889	0.0	0.108327175515
0.45	0.953059729802	0.0	0.440684196582
0.5	3.04646391251	0.0	1.75352039218
0.55	10.0899361716	0.0	6.19246775511
0.6	30.6955269556	0.0	19.2560615331
0.0	0.235702260396	0.1	0.0
0.05	0.172107087342	0.1	0.000244211646078
0.1	0.127522901994	0.1	0.000910411519421
0.15	0.100651355466	0.1	0.00190287423889
0.2	0.0903076926565	0.1	0.00297355918595
0.25	0.0944725898681	0.1	0.00389549742357
0.3	0.113059468951	0.1	0.00612759579978
0.35	0.156829966035	0.1	0.0179900918408
0.4	0.263229575758	0.1	0.0545706918614
0.45	0.53781486483	0.1	0.17109893356
0.5	1.31297166091	0.1	0.606842790392
0.55	3.89460593786	0.1	2.1018112551
0.6	11.2523875386	0.1	6.56220946808
0.0	0.235702260396	0.2	0.0
0.05	0.169125225919	0.2	0.000280582848892
0.1	0.124007237496	0.2	0.00104798502085
0.15	0.0983384976902	0.2	0.00214846079855
0.2	0.0899240765498	0.2	0.0032432654818
0.25	0.0954650913104	0.2	0.00403592720519
0.3	0.111598373881	0.2	0.00519812722218
0.35	0.142333208841	0.2	0.0115504079557
0.4	0.20625075121	0.2	0.0322144734829
0.45	0.35691693948	0.2	0.08577196097
0.5	0.711277923004	0.2	0.252594346622
0.55	1.82113970138	0.2	0.807912171459
0.6	4.85112470566	0.2	2.47640323255
0.0	0.235702260396	0.3	0.0
0.05	0.166005500701	0.3	0.000331432474712
0.1	0.120690594101	0.3	0.0012243016056
0.15	0.0967931785216	0.3	0.00245376945597
0.2	0.0909189643165	0.3	0.00357297282167
0.25	0.0983763430313	0.3	0.00430118139958
0.3	0.113792576037	0.3	0.00509213668857
0.35	0.138032774518	0.3	0.00825902234697
0.4	0.180577457324	0.3	0.0199547685982
0.45	0.269374373029	0.3	0.0488433976309
0.5	0.464978264392	0.3	0.123986214891
0.55	1.00350876644	0.3	0.353577021237
0.6	2.40899660643	0.3	1.03747499541
0.0	0.235702260396	0.4	0.0
0.05	0.162769720987	0.4	0.000408350972541
0.1	0.117760323202	0.4	0.00145801823185
0.15	0.0963342951428	0.4	0.00283082939335
0.2	0.0936075578303	0.4	0.00395487811825
0.25	0.103189367574	0.4	0.00466327549116
0.3	0.118750078925	0.4	0.00539111332261
0.35	0.139785267352	0.4	0.00710623076232
0.4	0.171427923954	0.4	0.0132882970446
0.45	0.227467688599	0.4	0.029404999414
0.5	0.343894522521	0.4	0.0675182911495
0.55	0.637978610822	0.4	0.173197971164
0.6	1.38189668663	0.4	0.48069139228
0.0	0.235702260396	0.5	0.0
0.05	0.159474671959	0.5	0.000527110615364
0.1	0.115518039741	0.5	0.00177486715382
0.15	0.0974372470946	0.5	0.00329193997092
0.2	0.0984175784305	0.5	0.00439700456714
0.25	0.110137000466	0.5	0.00512739338774
0.3	0.126327643612	0.5	0.00591685909155
0.35	0.146145237626	0.5	0.00720067403121
0.4	0.172593264709	0.5	0.0104039154854
0.45	0.212381201738	0.5	0.0191134535429
0.5	0.287963374858	0.5	0.0399839133294
0.55	0.471289988339	0.5	0.0947969918374
0.6	0.907960641216	0.5	0.250377530273
0.0	0.235702260396	0.6	0.0
0.05	0.156252039949	0.6	0.000709745839999
0.1	0.114465413197	0.6	0.00220958130981
0.15	0.100834114307	0.6	0.00384875910579
0.2	0.105944167371	0.6	0.00492969211252
0.25	0.119856406797	0.6	0.00571284668685
0.3	0.137246788686	0.6	0.00660583830367
0.35	0.157655281104	0.6	0.0078551965489
0.4	0.183036835225	0.6	0.00983285508635
0.45	0.217096659086	0.6	0.0144452808738
0.5	0.272539471614	0.6	0.0276157259689
0.55	0.399592123401	0.6	0.0634353953859
0.6	0.675181254813	0.6	0.16024083937
0.0	0.235702260396	0.7	0.0
0.05	0.153403894802	0.7	0.000992718789544
0.1	0.115492194863	0.7	0.00281277382375
0.15	0.107703568869	0.7	0.00453424233543
0.2	0.117333541514	0.7	0.00561529111095
0.25	0.134069351803	0.7	0.00644429777594
0.3	0.154166074255	0.7	0.00737945462912
0.35	0.177567885846	0.7	0.00867159380478
0.4	0.205359542827	0.7	0.0103794481238
0.45	0.24023285492	0.7	0.0135196851134
0.5	0.289996323642	0.7	0.025191080552
0.55	0.408689593394	0.7	0.0578135589827
0.6	0.660384291838	0.7	0.137613929508
0.0	0.235702260396	0.8	0.0
0.05	0.151674068434	0.8	0.00145265669016
0.1	0.120418509993	0.8	0.00367882664891
0.15	0.120422960129	0.8	0.00546675520989
0.2	0.136064561032	0.8	0.00653932844246
0.25	0.158130843956	0.8	0.0073259370654
0.3	0.184206592661	0.8	0.00822611578839
0.35	0.214510527972	0.8	0.00963505406678
0.4	0.249228187147	0.8	0.0119812785566
0.45	0.294359482305	0.8	0.0169390160388
0.5	0.371119074143	0.8	0.0335642567023
0.55	0.507964311033	0.8	0.0786763261359
0.6	0.771642148464	0.8	0.172977974834
0.0	0.235702260396	0.9	0.0
0.05	0.153398483181	0.9	0.00230361972075
0.1	0.134835260005	0.9	0.00503584000842
0.15	0.148472017566	0.9	0.00679364490581
0.2	0.176243830645	0.9	0.00782172741542
0.25	0.210827010138	0.9	0.0086067008925
0.3	0.251102907532	0.9	0.00984761544922
0.35	0.296661851358	0.9	0.0131909758714
0.4	0.354595583895	0.9	0.0207469582132
0.45	0.442567993189	0.9	0.0402444794854
0.5	0.577528471396	0.9	0.0880879395632
0.55	0.792358458682	0.9	0.185111687398
0.6	1.15782201989	0.9	0.360283069679
0.0	0.235702260396	1.0	0.0
0.05	0.17447371748	1.0	0.00468673194649
0.1	0.198029609585	1.0	0.00865428526883
0.15	0.251454415072	1.0	0.0117911079191
0.2	0.316229912931	1.0	0.0160901984822
0.25	0.391611755855	1.0	0.0245835766249
0.3	0.488163385881	1.0	0.0418450715557
0.35	0.622986640834	1.0	0.0766060349155
0.4	0.824459709042	1.0	0.148609585132
0.45	1.14672795902	1.0	0.297197541664
0.5	1.67896233901	1.0	0.589246380223
0.55	2.67932566927	1.0	1.13157253031
0.6	4.74302382307	1.0	2.09998191505
