alpha	RSME	lambda	SE
0.0	0.235702260396	0.0	0.0
0.0	0.235702260396	0.1	0.0
0.0	0.235702260396	0.2	0.0
0.0	0.235702260396	0.3	0.0
0.0	0.235702260396	0.4	0.0
0.0	0.235702260396	0.5	0.0
0.0	0.235702260396	0.6	0.0
0.0	0.235702260396	0.7	0.0
0.0	0.235702260396	0.8	0.0
0.0	0.235702260396	0.9	0.0
0.0	0.235702260396	1.0	0.0
0.05	0.175100288591	0.0	0.00171701475406
0.05	0.172166043862	0.1	0.00179707632659
0.05	0.169052245151	0.2	0.0018440216587
0.05	0.165753772897	0.3	0.00188959870208
0.05	0.162288594558	0.4	0.00200235430101
0.05	0.158716264793	0.5	0.00230284881728
0.05	0.155169206758	0.6	0.00298086040976
0.05	0.151928376477	0.7	0.0043482368845
0.05	0.14970686127	0.8	0.00696434041365
0.05	0.151015560784	0.9	0.0118808105993
0.05	0.167899152118	1.0	0.0212186363942
0.1	0.131306192707	0.0	0.00585489003289
0.1	0.12772627851	0.1	0.00648626862751
0.1	0.124253683693	0.2	0.00722702531586
0.1	0.121028493143	0.3	0.00817824203381
0.1	0.118273164466	0.4	0.00950511916991
0.1	0.116317157104	0.5	0.0114470815262
0.1	0.115623316724	0.6	0.0143154556546
0.1	0.116883749216	0.7	0.0184776320048
0.1	0.121506527895	0.8	0.0244135077263
0.1	0.133469052236	0.9	0.0334745356375
0.1	0.174348589353	1.0	0.0441396745933
0.15	0.103430002032	0.0	0.0121162307703
0.15	0.101205107227	0.1	0.0134423402614
0.15	0.0995972348261	0.2	0.014993380688
0.15	0.0988709662771	0.3	0.0168620666486
0.15	0.0993657835344	0.4	0.0191706835542
0.15	0.101510259792	0.5	0.0220503763171
0.15	0.105850279968	0.6	0.0256154228922
0.15	0.113151798599	0.7	0.0299785359401
0.15	0.124738657006	0.8	0.0355290911884
0.15	0.143619622166	0.9	0.044209800579
0.15	0.193498450506	1.0	0.0511090322139
0.2	0.0911524707246	0.0	0.0187380518542
0.2	0.0915901358491	0.1	0.0203086634362
0.2	0.0930706200276	0.2	0.0220441957584
0.2	0.0958802726485	0.3	0.0239867521282
0.2	0.10032673243	0.4	0.0261848418732
0.2	0.106773763003	0.5	0.0286622600947
0.2	0.115697234555	0.6	0.0313937030583
0.2	0.127795605129	0.7	0.0343549809502
0.2	0.144366750765	0.8	0.0378355503529
0.2	0.168851695716	0.9	0.0433943922335
0.2	0.216779792787	1.0	0.0501577198686
0.25	0.0934277166114	0.0	0.0235412970738
0.25	0.0966153826729	0.1	0.0248888299903
0.25	0.100780762951	0.2	0.026364570566
0.25	0.106170120469	0.3	0.0279834938918
0.25	0.113046097578	0.4	0.0297315075961
0.25	0.121765253944	0.5	0.0315329160653
0.25	0.132855350003	0.6	0.0332485379389
0.25	0.147148883328	0.7	0.0347708473201
0.25	0.166247659655	0.8	0.0363790665824
0.25	0.194025216927	0.9	0.0398160119346
0.25	0.241448711608	1.0	0.0474395087391
0.3	0.105564145337	0.0	0.0261049576647
0.3	0.110406348832	0.1	0.0272664391505
0.3	0.115755177244	0.2	0.0285475904376
0.3	0.121969808002	0.3	0.0299270246958
0.3	0.129406679371	0.4	0.0313173517867
0.3	0.138532799218	0.5	0.0325486257126
0.3	0.150041496492	0.6	0.0333896301466
0.3	0.165043725899	0.7	0.0336850270902
0.3	0.185607301271	0.8	0.0338079475006
0.3	0.216103676874	0.9	0.0360817891815
0.3	0.264773623118	1.0	0.0455294324224
0.35	0.121341594472	0.0	0.0271122861423
0.35	0.127215733771	0.1	0.0283132008277
0.35	0.132900473665	0.2	0.0295183576939
0.35	0.138974567776	0.3	0.0307369525363
0.35	0.145960130252	0.4	0.0318479642555
0.35	0.154498083566	0.5	0.0326072539764
0.35	0.165523156212	0.6	0.0326932889682
0.35	0.18051614421	0.7	0.0318939123926
0.35	0.20207978931	0.8	0.0306952121898
0.35	0.235019930229	0.9	0.0321335589663
0.35	0.284551418977	1.0	0.0434115041231
0.4	0.136743039256	0.0	0.0269202573582
0.4	0.143962986514	0.1	0.0283800446098
0.4	0.149984643642	0.2	0.0296418282381
0.4	0.155719714479	0.3	0.0307614135586
0.4	0.161915724042	0.4	0.0316435975785
0.4	0.16943823058	0.5	0.0319998504793
0.4	0.179521493321	0.6	0.0314138887065
0.4	0.194073071951	0.7	0.0295811499782
0.4	0.216230609367	0.8	0.0270457444393
0.4	0.251002837228	0.9	0.0274838711123
0.4	0.299634735212	1.0	0.0393189605362
0.45	0.149892260787	0.0	0.0263545117784
0.45	0.159112368152	0.1	0.0274772187068
0.45	0.165953286441	0.2	0.0288845903093
0.45	0.171641743305	0.3	0.0300044209501
0.45	0.177176847048	0.4	0.0307227793495
0.45	0.183663541479	0.5	0.0307376339621
0.45	0.192659043127	0.6	0.0295467611521
0.45	0.206524263079	0.7	0.0267223582785
0.45	0.228903362024	0.8	0.0227921448044
0.45	0.264749082925	0.9	0.0219302695545
0.45	0.310877026037	1.0	0.0328371630399
0.5	0.165073442143	0.0	0.0276286734869
0.5	0.172514801193	0.1	0.0262807381429
0.5	0.180230958668	0.2	0.0272223843754
0.5	0.186277919254	0.3	0.0283238551641
0.5	0.191547321217	0.4	0.0289391555119
0.5	0.197292241971	0.5	0.0286737458062
0.5	0.205358949073	0.6	0.0269466052452
0.5	0.218563880879	0.7	0.0232127412536
0.5	0.241053043517	0.8	0.0180168513788
0.5	0.277618726641	0.9	0.0162346974428
0.5	0.321611310185	1.0	0.0264364749982
0.55	0.219273555833	0.0	0.0300375151866
0.55	0.192068099406	0.1	0.0243006098734
0.55	0.193733189875	0.2	0.0253725444239
0.55	0.199353032234	0.3	0.0259658362269
0.55	0.204592691035	0.4	0.026308706336
0.55	0.210016795429	0.5	0.0257412087462
0.55	0.21757574364	0.6	0.0235371140098
0.55	0.230523091835	0.7	0.0191182778158
0.55	0.253571976094	0.8	0.0136616671855
0.55	0.291547080934	0.9	0.0144234183316
0.55	0.337063994911	1.0	0.0284364672763
0.6	0.373999358967	0.0	0.107731578687
0.6	0.254667396234	0.1	0.0255240651318
0.6	0.217561417173	0.2	0.0200869388769
0.6	0.212719470573	0.3	0.0237244329712
0.6	0.216150652845	0.4	0.0236890547144
0.6	0.221270710111	0.5	0.0225654352205
0.6	0.22881137255	0.6	0.0199394652024
0.6	0.242283574911	0.7	0.0156789214768
0.6	0.267117085701	0.8	0.0139710583667
0.6	0.308685653765	0.9	0.022690375965
0.6	0.362755888607	1.0	0.0467494753488
0.65	0.712317290864	0.0	0.334713446925
0.65	0.410244349377	0.1	0.117414968943
0.65	0.286399709989	0.2	0.0305366990875
0.65	0.240622486735	0.3	0.0161900845052
0.65	0.229704752599	0.4	0.0212476625746
0.65	0.231356669916	0.5	0.0208542736511
0.65	0.238572267157	0.6	0.0184974281529
0.65	0.253438292433	0.7	0.0168367987863
0.65	0.282062927402	0.8	0.0227381342425
0.65	0.331037742888	0.9	0.0395635877626
0.65	0.40398029569	1.0	0.0817976827145
0.7	1.3811746788	0.0	0.832403821158
0.7	0.730294234806	0.1	0.34380016421
0.7	0.440423597178	0.2	0.136179066105
0.7	0.314380475878	0.3	0.0465989707886
0.7	0.263437126746	0.4	0.0165436417219
0.7	0.247200911876	0.5	0.0187401466175
0.7	0.248579633558	0.6	0.0209303750621
0.7	0.264015590343	0.7	0.0242638525059
0.7	0.298664267333	0.8	0.0366827751907
0.7	0.360423956292	0.9	0.062728939375
0.7	0.469925883446	1.0	0.1355117987
0.75	2.65401425836	0.0	1.80910988328
0.75	1.33601082349	0.1	0.807746014248
0.75	0.737615045652	0.2	0.369462040822
0.75	0.466625502895	0.3	0.168590665821
0.75	0.345821151159	0.4	0.0731399893879
0.75	0.291781823518	0.5	0.0306254995963
0.75	0.271261692358	0.6	0.0238658821825
0.75	0.277891647254	0.7	0.033192909531
0.75	0.317596192759	0.8	0.0516967413057
0.75	0.398211237248	0.9	0.0899932461888
0.75	0.579466570184	1.0	0.208873917904
0.8	4.99041061882	0.0	3.59150293918
0.8	2.44079346447	0.1	1.67790851406
0.8	1.27188790325	0.2	0.825059355969
0.8	0.745207228895	0.3	0.420620818944
0.8	0.507783052471	0.4	0.218884172112
0.8	0.393475424159	0.5	0.114538858481
0.8	0.334399805181	0.6	0.0603794027832
0.8	0.313049009106	0.7	0.0435419522879
0.8	0.342790392172	0.8	0.0629505454024
0.8	0.443084883828	0.9	0.116704640165
0.8	0.747003481902	1.0	0.300893458414
0.85	8.99399945547	0.0	6.72025017847
0.85	4.36811973226	0.1	3.22234534367
0.85	2.2101075854	0.2	1.64938547838
0.85	1.22841107336	0.3	0.892654768163
0.85	0.80421435336	0.4	0.500979311365
0.85	0.594672746891	0.5	0.292541139957
0.85	0.472185022871	0.6	0.1751050556
0.85	0.401926592229	0.7	0.100832008351
0.85	0.392088446836	0.8	0.0715661174488
0.85	0.487596106	0.9	0.134528809343
0.85	0.952965839332	1.0	0.405977215664
0.9	15.6477715382	0.0	12.0064475381
0.9	7.59235651223	0.1	5.85927741753
0.9	3.8352040375	0.2	3.06184045565
