lambda	RSME	SE
0.0	0.107343699877	0.00613546609527
0.1	0.108929060944	0.00629492859116
0.2	0.110775105241	0.00646760511014
0.3	0.11296328043	0.00665113117717
0.4	0.115598669107	0.00684683781159
0.5	0.118988776243	0.00705519145619
0.6	0.123494517206	0.00723923425778
0.7	0.129916779132	0.00742256286412
0.8	0.13936375185	0.0076434638575
0.9	0.154336047784	0.00802216217612
1.0	0.185033983476	0.00864955294215
