alpha	RSME	lambda	SE
0.0	0.235702260396	0.0	nan
0.0	0.235702260396	0.1	nan
0.0	0.235702260396	0.2	nan
0.0	0.235702260396	0.3	nan
0.0	0.235702260396	0.4	nan
0.0	0.235702260396	0.5	nan
0.0	0.235702260396	0.6	nan
0.0	0.235702260396	0.7	nan
0.0	0.235702260396	0.8	nan
0.0	0.235702260396	0.9	nan
0.0	0.235702260396	1.0	nan
0.05	0.174180430465	0.0	nan
0.05	0.171401578505	0.1	nan
0.05	0.168395586388	0.2	nan
0.05	0.165216367308	0.3	nan
0.05	0.161974269977	0.4	nan
0.05	0.158854500018	0.5	nan
0.05	0.156137301851	0.6	nan
0.05	0.154237685207	0.7	nan
0.05	0.153922319397	0.8	nan
0.05	0.157892588304	0.9	nan
0.05	0.183772834335	1.0	nan
0.1	0.129602537544	0.0	nan
0.1	0.125718775073	0.1	nan
0.1	0.121695519037	0.2	nan
0.1	0.117737645148	0.3	nan
0.1	0.114151529744	0.4	nan
0.1	0.111351908652	0.5	nan
0.1	0.109854964906	0.6	nan
0.1	0.110341862204	0.7	nan
0.1	0.114570142081	0.8	nan
0.1	0.133257312915	0.9	nan
0.1	0.242933779697	1.0	nan
0.15	0.10076505561	0.0	nan
0.15	0.0965692591033	0.1	nan
0.15	0.0924890010379	0.2	nan
0.15	0.088817503572	0.3	nan
0.15	0.0859212771807	0.4	nan
0.15	0.0841907501559	0.5	nan
0.15	0.0840583240155	0.6	nan
0.15	0.086589338828	0.7	nan
0.15	0.0973478325693	0.8	nan
0.15	0.146053312463	0.9	nan
0.15	0.371849968742	1.0	nan
0.2	0.084685766072	0.0	nan
0.2	0.0805771144383	0.1	nan
0.2	0.076677372079	0.2	nan
0.2	0.0732431225098	0.3	nan
0.2	0.070480586663	0.4	nan
0.2	0.0685159189648	0.5	nan
0.2	0.0677735795949	0.6	nan
0.2	0.0712598364249	0.7	nan
0.2	0.0936004707085	0.8	nan
0.2	0.183033009257	0.9	nan
0.2	0.52155220498	1.0	nan
0.25	0.0755000163853	0.0	nan
0.25	0.0723478366843	0.1	nan
0.25	0.0687809485206	0.2	nan
0.25	0.0650423489615	0.3	nan
0.25	0.0611807895693	0.4	nan
0.25	0.057194660584	0.5	nan
0.25	0.0543283387333	0.6	nan
0.25	0.0608268055811	0.7	nan
0.25	0.102404595871	0.8	nan
0.25	0.232382438478	0.9	nan
0.25	0.668875663702	1.0	nan
0.3	0.0666522088389	0.0	nan
0.3	0.0656303963957	0.1	nan
0.3	0.063190240638	0.2	nan
0.3	0.0591790251205	0.3	nan
0.3	0.0536030755068	0.4	nan
0.3	0.0468575779283	0.5	nan
0.3	0.0429964631845	0.6	nan
0.3	0.0593954552859	0.7	nan
0.3	0.123300450729	0.8	nan
0.3	0.286632091972	0.9	nan
0.3	0.797358959169	1.0	nan
0.35	0.0704335362	0.0	nan
0.35	0.0608383829197	0.1	nan
0.35	0.0568978784806	0.2	nan
0.35	0.0524020048926	0.3	nan
0.35	0.0453691387273	0.4	nan
0.35	0.0368586377651	0.5	nan
0.35	0.0374832846025	0.6	nan
0.35	0.070023354781	0.7	nan
0.35	0.152377894094	0.8	nan
0.35	0.340675911424	0.9	nan
0.35	0.893980615676	1.0	nan
0.4	0.145719556666	0.0	nan
0.4	0.0929925561311	0.1	nan
0.4	0.0640197514241	0.2	nan
0.4	0.0474144960845	0.3	nan
0.4	0.0342713571811	0.4	nan
0.4	0.0242249163439	0.5	nan
0.4	0.0388640661172	0.6	nan
0.4	0.0882854245095	0.7	nan
0.4	0.185763029591	0.8	nan
0.4	0.392455746693	0.9	nan
0.4	0.954322902869	1.0	nan
0.45	0.318281804572	0.0	nan
0.45	0.204718602058	0.1	nan
0.45	0.129055006735	0.2	nan
0.45	0.0777691043423	0.3	nan
0.45	0.0394785266324	0.4	nan
0.45	0.0121162165012	0.5	nan
0.45	0.0466478860403	0.6	nan
0.45	0.111852218862	0.7	nan
0.45	0.224490375313	0.8	nan
0.45	0.445508423046	0.9	nan
0.45	0.988480887015	1.0	nan
0.5	0.584457621907	0.0	nan
0.5	0.400559601517	0.1	nan
0.5	0.269142492688	0.2	nan
0.5	0.175021096095	0.3	nan
0.5	0.107136810592	0.4	nan
0.5	0.0654693738585	0.5	nan
0.5	0.0791074900628	0.6	nan
0.5	0.149922830325	0.7	nan
0.5	0.277426693335	0.8	nan
0.5	0.510042261327	0.9	nan
0.5	1.0201767659	1.0	nan
0.55	0.92534168829	0.0	nan
0.55	0.667687577449	0.1	nan
0.55	0.480221134229	0.2	nan
0.55	0.338637229807	0.3	nan
0.55	0.233710295558	0.4	nan
0.55	0.166072355044	0.5	nan
0.55	0.155565941458	0.6	nan
0.55	0.21944361581	0.7	nan
0.55	0.358567170685	0.8	nan
0.55	0.600560839146	0.9	nan
0.55	1.07864246067	1.0	nan
0.6	1.3849656439	0.0	nan
0.6	0.972151152404	0.1	nan
0.6	0.7385529327	0.2	nan
0.6	0.556876955281	0.3	nan
0.6	0.412902857573	0.4	nan
0.6	0.312243089642	0.5	nan
0.6	0.276563289343	0.6	nan
0.6	0.330654979921	0.7	nan
0.6	0.480647224227	0.8	nan
0.6	0.736514742099	0.9	nan
0.6	1.21734045946	1.0	nan
0.65	2.49386531162	0.0	nan
0.65	1.33247894381	0.1	nan
0.65	0.996753373636	0.2	nan
0.65	0.79535108293	0.3	nan
0.65	0.624456870333	0.4	nan
0.65	0.493020348409	0.5	nan
0.65	0.434897999878	0.6	nan
0.65	0.486139116122	0.7	nan
0.65	0.657977129553	0.8	nan
0.65	0.958513929239	0.9	nan
0.65	1.6062282708	1.0	nan
0.7	5.95457027378	0.0	nan
0.7	2.21577488415	0.1	nan
0.7	1.24847411737	0.2	nan
0.7	0.994912827328	0.3	nan
0.7	0.825600192748	0.4	nan
0.7	0.683481394788	0.5	nan
0.7	0.621140066399	0.6	nan
0.7	0.694009682803	0.7	nan
0.7	0.922058273305	0.8	nan
0.7	1.35397818753	0.9	nan
0.7	2.56898527836	1.0	nan
0.75	15.1812004156	0.0	nan
0.75	5.15484242996	0.1	nan
0.75	1.92506237856	0.2	nan
0.75	1.12444453221	0.3	nan
0.75	0.945745942176	0.4	nan
