alpha	RSME	lambda	SE
7.5	2.12201720819e+11	0.9	nan
7.5	8.53973108416e+11	1.0	nan
8.0	1.80141551213e+11	0.0	nan
8.0	2.59179521458e+11	0.1	nan
8.0	1.63130747125e+11	0.2	nan
8.0	69152844856.8	0.3	nan
8.0	4798223221.03	0.4	nan
8.0	38270945581.4	0.5	nan
8.0	73330832348.7	0.6	nan
8.0	1.14819792122e+11	0.7	nan
8.0	1.91272610764e+11	0.8	nan
8.0	4.22686636703e+11	0.9	nan
8.0	1.69905393753e+12	1.0	nan
8.5	3.15277292114e+11	0.0	nan
8.5	4.76139217038e+11	0.1	nan
8.5	3.01763385345e+11	0.2	nan
8.5	1.27773659081e+11	0.3	nan
8.5	7675165815.65	0.4	nan
8.5	73299277169.3	0.5	nan
8.5	1.39713187547e+11	0.6	nan
8.5	2.18683533944e+11	0.7	nan
8.5	3.643913554e+11	0.8	nan
8.5	8.05279072677e+11	0.9	nan
8.5	3.23365387513e+12	1.0	nan
9.0	5.33974905539e+11	0.0	nan
9.0	8.44605818459e+11	0.1	nan
9.0	5.38641307156e+11	0.2	nan
9.0	2.27835178571e+11	0.3	nan
9.0	11761968773.0	0.4	nan
9.0	1.34885546282e+11	0.5	nan
9.0	2.55960545129e+11	0.6	nan
9.0	4.00528205628e+11	0.7	nan
9.0	6.67564594039e+11	0.8	nan
9.0	1.47531995043e+12	0.9	nan
9.0	5.91895552924e+12	1.0	nan
9.5	8.78372233456e+11	0.0	nan
9.5	1.45219318298e+12	0.1	nan
9.5	9.31401668135e+11	0.2	nan
9.5	3.93590379402e+11	0.3	nan
9.5	17294572435.1	0.4	nan
9.5	2.39605346513e+11	0.5	nan
9.5	4.52949896716e+11	0.6	nan
9.5	7.08624804294e+11	0.7	nan
9.5	1.18134636951e+12	0.8	nan
9.5	2.61087311775e+12	0.9	nan
9.5	1.04664768261e+13	1.0	nan
10.0	1.40765709988e+12	0.0	nan
10.0	2.42800065977e+12	0.1	nan
10.0	1.56536043859e+12	0.2	nan
10.0	6.60911421536e+11	0.3	nan
10.0	24400886054.9	0.4	nan
10.0	4.12461899528e+11	0.5	nan
10.0	7.7715072389e+11	0.6	nan
10.0	1.21561604277e+12	0.7	nan
10.0	2.02698700975e+12	0.8	nan
10.0	4.47997400778e+12	0.9	nan
10.0	1.7946639053e+13	1.0	nan
