alpha	RSME	lambda	SE
0.0	0.235702260396	0.0	nan
0.0	0.235702260396	0.1	nan
0.0	0.235702260396	0.2	nan
0.0	0.235702260396	0.3	nan
0.0	0.235702260396	0.4	nan
0.0	0.235702260396	0.5	nan
0.0	0.235702260396	0.6	nan
0.0	0.235702260396	0.7	nan
0.0	0.235702260396	0.8	nan
0.0	0.235702260396	0.9	nan
0.0	0.235702260396	1.0	nan
0.5	0.160204144685	0.0	nan
0.5	0.133921976355	0.1	nan
0.5	0.131786230444	0.2	nan
0.5	0.134875066756	0.3	nan
0.5	0.139712353082	0.4	nan
0.5	0.145823694669	0.5	nan
0.5	0.154242753167	0.6	nan
0.5	0.167873287076	0.7	nan
0.5	0.19160941858	0.8	nan
0.5	0.231444052514	0.9	nan
0.5	0.292047742125	1.0	nan
1.0	110.448882093	0.0	nan
1.0	47.0581198255	0.1	nan
1.0	18.6436584772	0.2	nan
1.0	6.82115606658	0.3	nan
1.0	2.24909254475	0.4	nan
1.0	0.651331310925	0.5	nan
1.0	0.390506589829	0.6	nan
1.0	0.553313635759	0.7	nan
1.0	0.709269276352	0.8	nan
1.0	0.947922000231	0.9	nan
1.0	1.89003233364	1.0	nan
1.5	14564.7397052	0.0	nan
1.5	7548.91384126	0.1	nan
1.5	3522.46077802	0.2	nan
1.5	1504.40673447	0.3	nan
1.5	580.547199705	0.4	nan
1.5	184.53749837	0.5	nan
1.5	16.1524722408	0.6	nan
1.5	80.3686923131	0.7	nan
1.5	188.109846031	0.8	nan
1.5	478.900205261	0.9	nan
1.5	2236.72814738	1.0	nan
2.0	303596.735403	0.0	nan
2.0	179014.980952	0.1	nan
2.0	89230.3018843	0.2	nan
2.0	38702.7448853	0.3	nan
2.0	13437.5075992	0.4	nan
2.0	1456.35797001	0.5	nan
2.0	4674.52421288	0.6	nan
2.0	9309.43553524	0.7	nan
2.0	16353.1386008	0.8	nan
2.0	37417.3896412	0.9	nan
2.0	162837.449345	1.0	nan
2.5	2874092.60421	0.0	nan
2.5	1895260.53627	0.1	nan
2.5	989240.611682	0.2	nan
2.5	429472.22393	0.3	nan
2.5	130414.957514	0.4	nan
2.5	23100.8646599	0.5	nan
2.5	112408.80348	0.6	nan
2.5	192025.384688	0.7	nan
2.5	324450.651751	0.8	nan
2.5	726468.884636	0.9	nan
2.5	3071859.85134	1.0	nan
3.0	17228685.0418	0.0	nan
3.0	12564546.2974	0.1	nan
3.0	6795293.89023	0.2	nan
3.0	2943275.13597	0.3	nan
3.0	777675.887123	0.4	nan
3.0	402103.548359	0.5	nan
3.0	1151755.37668	0.6	nan
3.0	1883316.0613	0.7	nan
3.0	3148443.90217	0.8	nan
3.0	6999142.7927	0.9	nan
3.0	29147301.9179	1.0	nan
3.5	76464182.6306	0.0	nan
3.5	61127153.0287	0.1	nan
3.5	34015367.9635	0.2	nan
3.5	14688598.6756	0.3	nan
3.5	3379536.72484	0.4	nan
3.5	3065833.02948	0.5	nan
3.5	7421133.79132	0.6	nan
3.5	11912801.4992	0.7	nan
3.5	19843004.6148	0.8	nan
3.5	43979245.1726	0.9	nan
3.5	181419412.339	1.0	nan
4.0	274140335.114	0.0	nan
4.0	238459359.042	0.1	nan
4.0	135841372.825	0.2	nan
4.0	58482941.2971	0.3	nan
4.0	11744148.1877	0.4	nan
4.0	15840367.1603	0.5	nan
4.0	35330258.1038	0.6	nan
4.0	56181154.1723	0.7	nan
4.0	93460109.8089	0.8	nan
4.0	206843264.233	0.9	nan
4.0	847743071.908	1.0	nan
4.5	837858947.801	0.0	nan
4.5	788006406.853	0.1	nan
4.5	457788008.541	0.2	nan
4.5	196542167.832	0.3	nan
4.5	34530607.8937	0.4	nan
4.5	63764296.9423	0.5	nan
4.5	135584948.993	0.6	nan
4.5	214437358.478	0.7	nan
4.5	356599366.633	0.8	nan
4.5	788630623.944	0.9	nan
4.5	3216981435.11	1.0	nan
5.0	2262211275.77	0.0	nan
5.0	2287874535.25	0.1	nan
5.0	1351445430.06	0.2	nan
5.0	578770891.589	0.3	nan
5.0	89133858.8354	0.4	nan
5.0	214636557.163	0.5	nan
5.0	442446723.514	0.6	nan
5.0	697406689.908	0.7	nan
5.0	1159799470.52	0.8	nan
5.0	2563915700.79	0.9	nan
5.0	10421227445.7	1.0	nan
5.5	5531668450.84	0.0	nan
5.5	5987143235.66	0.1	nan
5.5	3587576782.78	0.2	nan
5.5	1533009327.24	0.3	nan
5.5	207199648.639	0.4	nan
5.5	630553371.532	0.5	nan
5.5	1271983201.62	0.6	nan
5.5	2000519998.37	0.7	nan
5.5	3327606007.38	0.8	nan
5.5	7354620178.27	0.9	nan
5.5	29808945383.3	1.0	nan
6.0	12473105421.5	0.0	nan
6.0	14387182287.9	0.1	nan
6.0	8728808488.24	0.2	nan
6.0	3722552650.15	0.3	nan
6.0	441726736.934	0.4	nan
6.0	1663359092.7	0.5	nan
6.0	3302552511.05	0.6	nan
6.0	5186194312.2	0.7	nan
6.0	8629022297.52	0.8	nan
6.0	19069628667.1	0.9	nan
6.0	77114296351.9	1.0	nan
6.5	26287963518.0	0.0	nan
6.5	32194135561.9	0.1	nan
6.5	19746328926.8	0.2	nan
6.5	8406364159.26	0.3	nan
6.5	875297427.214	0.4	nan
6.5	4019968404.15	0.5	nan
6.5	7885482248.22	0.6	nan
6.5	12369613244.1	0.7	nan
6.5	20587488598.5	0.8	nan
6.5	45494869512.3	0.9	nan
6.5	1.83626133689e+11	1.0	nan
7.0	52325570291.6	0.0	nan
7.0	67812326758.4	0.1	nan
7.0	41994952438.9	0.2	nan
7.0	17849911335.4	0.3	nan
7.0	1628370624.18	0.4	nan
7.0	9033664379.32	0.5	nan
7.0	17552458885.5	0.6	nan
7.0	27511953381.6	0.7	nan
7.0	45804014185.4	0.8	nan
7.0	1.01217733309e+11	0.9	nan
7.0	4.0788649074e+11	1.0	nan
7.5	99171847719.6	0.0	nan
7.5	1.35601012927e+11	0.1	nan
7.5	84697242905.4	0.2	nan
7.5	35949722078.4	0.3	nan
7.5	2865744780.03	0.4	nan
7.5	19089986720.5	0.5	nan
7.5	36808984529.1	0.6	nan
7.5	57660699987.1	0.7	nan
7.5	96026780060.7	0.8	nan
