alpha	RSME	lambda	SE
0.0	0.235702260396	0.0	nan
0.0	0.235702260396	0.1	nan
0.0	0.235702260396	0.2	nan
0.0	0.235702260396	0.3	nan
0.0	0.235702260396	0.4	nan
0.0	0.235702260396	0.5	nan
0.0	0.235702260396	0.6	nan
0.0	0.235702260396	0.7	nan
0.0	0.235702260396	0.8	nan
0.0	0.235702260396	0.9	nan
0.0	0.235702260396	1.0	nan
0.05	0.173089029059	0.0	nan
0.05	0.169915305872	0.1	nan
0.05	0.166405297384	0.2	nan
0.05	0.162499618903	0.3	nan
0.05	0.158119673139	0.4	nan
0.05	0.153141643146	0.5	nan
0.05	0.147354321642	0.6	nan
0.05	0.14040222115	0.7	nan
0.05	0.131753335721	0.8	nan
0.05	0.120844916643	0.9	nan
0.05	0.108099242203	1.0	nan
0.1	0.125322928355	0.0	nan
0.1	0.12026037851	0.1	nan
0.1	0.11464408311	0.2	nan
0.1	0.108385363193	0.3	nan
0.1	0.101371129648	0.4	nan
0.1	0.0934309546055	0.5	nan
0.1	0.0842925194293	0.6	nan
0.1	0.0736177094482	0.7	nan
0.1	0.0618951125596	0.8	nan
0.1	0.0580668942498	0.9	nan
0.1	0.105217336843	1.0	nan
0.15	0.0913776750976	0.0	nan
0.15	0.0854409994915	0.1	nan
0.15	0.0786401771176	0.2	nan
0.15	0.0708376036418	0.3	nan
0.15	0.0618585011368	0.4	nan
0.15	0.0515098338471	0.5	nan
0.15	0.0398821571417	0.6	nan
0.15	0.0301643522373	0.7	nan
0.15	0.0407454490593	0.8	nan
0.15	0.093217934188	0.9	nan
0.15	0.215858082748	1.0	nan
0.2	0.0703579581233	0.0	nan
0.2	0.0645416259197	0.1	nan
0.2	0.0575640451048	0.2	nan
0.2	0.0493857485605	0.3	nan
0.2	0.0402057672641	0.4	nan
0.2	0.0314043935827	0.5	nan
0.2	0.0292929651655	0.6	nan
0.2	0.045663725582	0.7	nan
0.2	0.0868196028837	0.8	nan
0.2	0.168428600817	0.9	nan
0.2	0.330835012996	1.0	nan
0.25	0.0626107220942	0.0	nan
0.25	0.0582327284026	0.1	nan
0.25	0.0530906622731	0.2	nan
0.25	0.0479185133709	0.3	nan
0.25	0.0445786369085	0.4	nan
0.25	0.0469315699799	0.5	nan
0.25	0.0601766837557	0.6	nan
0.25	0.0894786709484	0.7	nan
0.25	0.14392807587	0.8	nan
0.25	0.2446157543	0.9	nan
0.25	0.432284544404	1.0	nan
0.3	0.0673380973746	0.0	nan
0.3	0.0655320411238	0.1	nan
0.3	0.0638857808947	0.2	nan
0.3	0.063745613334	0.3	nan
0.3	0.0673461793171	0.4	nan
0.3	0.0777675360326	0.5	nan
0.3	0.0988232717073	0.6	nan
0.3	0.136198708735	0.7	nan
0.3	0.200913171711	0.8	nan
0.3	0.31493160402	0.9	nan
0.3	0.519129616326	1.0	nan
0.35	0.0819179070835	0.0	nan
0.35	0.0821083235028	0.1	nan
0.35	0.0836584389233	0.2	nan
0.35	0.0877939971002	0.3	nan
0.35	0.0964994249532	0.4	nan
0.35	0.112411434177	0.5	nan
0.35	0.139191007596	0.6	nan
0.35	0.182948909122	0.7	nan
0.35	0.255177977896	0.8	nan
0.35	0.377281166771	0.9	nan
0.35	0.59351057064	1.0	nan
0.4	0.107130446451	0.0	nan
0.4	0.106568704568	0.1	nan
0.4	0.109341306886	0.2	nan
0.4	0.116192137838	0.3	nan
0.4	0.128607538405	0.4	nan
0.4	0.148782337499	0.5	nan
0.4	0.180136197782	0.6	nan
0.4	0.228705360665	0.7	nan
0.4	0.305659556016	0.8	nan
0.4	0.431510422389	0.9	nan
0.4	0.657975835631	1.0	nan
0.45	0.145399952261	0.0	nan
0.45	0.141693464161	0.1	nan
0.45	0.142508116147	0.2	nan
0.45	0.149494014846	0.3	nan
0.45	0.163793642925	0.4	nan
0.45	0.186915658196	0.5	nan
0.45	0.221629097466	0.6	nan
0.45	0.273358489907	0.7	nan
0.45	0.352425479326	0.8	nan
0.45	0.478752227484	0.9	nan
0.45	0.71496492463	1.0	nan
0.5	0.195263882838	0.0	nan
0.5	0.190921429782	0.1	nan
0.5	0.187279320062	0.2	nan
0.5	0.190949355916	0.3	nan
0.5	0.204300831037	0.4	nan
0.5	0.22834180722	0.5	nan
0.5	0.264777360766	0.6	nan
0.5	0.317846622804	0.7	nan
0.5	0.396624011237	0.8	nan
0.5	0.521055328436	0.9	nan
0.5	0.766860539346	1.0	nan
0.55	0.249163423972	0.0	nan
0.55	0.255580879857	0.1	nan
0.55	0.248329484844	0.2	nan
0.55	0.245495060958	0.3	nan
0.55	0.254163744663	0.4	nan
0.55	0.276112432795	0.5	nan
0.55	0.311951259777	0.6	nan
0.55	0.364215901621	0.7	nan
0.55	0.440374191116	0.8	nan
0.55	0.561029134678	0.9	nan
0.55	0.815871244971	1.0	nan
0.6	0.292141722605	0.0	nan
0.6	0.333527804198	0.1	nan
0.6	0.32976164362	0.2	nan
0.6	0.318960702938	0.3	nan
0.6	0.318858782601	0.4	nan
0.6	0.334705189817	0.5	nan
0.6	0.366746354889	0.6	nan
0.6	0.415535066647	0.7	nan
0.6	0.486565675609	0.8	nan
0.6	0.60146942593	0.9	nan
0.6	0.863700457593	1.0	nan
0.65	0.307372807492	0.0	nan
0.65	0.416540608392	0.1	nan
0.65	0.43444112546	0.2	nan
0.65	0.417696635726	0.3	nan
0.65	0.405041395449	0.4	nan
0.65	0.409879481222	0.5	nan
0.65	0.433867086511	0.6	nan
0.65	0.475739616749	0.7	nan
0.65	0.538634137578	0.8	nan
0.65	0.645072154439	0.9	nan
0.65	0.911429082577	1.0	nan
0.7	0.361433549574	0.0	nan
0.7	0.485094845696	0.1	nan
0.7	0.562541083324	0.2	nan
0.7	0.548475225802	0.3	nan
0.7	0.520625605548	0.4	nan
0.7	0.508751815085	0.5	nan
0.7	0.519157095399	0.6	nan
0.7	0.549589029896	0.7	nan
0.7	0.600471974618	0.8	nan
0.7	0.694430177289	0.9	nan
0.7	0.960046641783	1.0	nan
0.75	0.791173899267	0.0	nan
0.75	0.504441183631	0.1	nan
0.75	0.708759328322	0.2	nan
0.75	0.718208504354	0.3	nan
0.75	0.67518466019	0.4	nan
0.75	0.640273059721	0.5	nan
