lambda	RSME	SE
0.0	0.221722312663	7.07569061913e-06
0.1	0.220942799054	7.7494351546e-06
0.2	0.220100273839	1.24166525747e-05
0.3	0.219182916429	2.43477804711e-05
0.4	0.21817768956	4.50742799917e-05
0.5	0.217070215645	7.71962700627e-05
0.6	0.215845403136	0.000125479230751
0.7	0.214491635237	0.00019903463928
0.8	0.213024469054	0.000318155139397
0.9	0.211659895063	0.000537189490884
1.0	0.21409266047	0.00188480433635
