alpha	RSME	lambda	SE
0.0	0.235702260396	0.0	0.0
0.05	0.175172015058	0.0	0.000285962859502
0.1	0.131546027785	0.0	0.00101978509905
0.15	0.103427442823	0.0	0.00208851420364
0.2	0.0905293392829	0.0	0.00330890316477
0.25	0.0937267044863	0.0	0.00451625378473
0.3	0.116117066018	0.0	0.00648219811514
0.35	0.164328512219	0.0	0.0144907711044
0.4	0.273702584739	0.0	0.0414057156012
0.45	0.566500845648	0.0	0.131163114631
0.5	1.36561577461	0.0	0.40820474145
0.55	3.33990005851	0.0	1.15836746645
0.6	7.99625282396	0.0	2.96170461568
0.0	0.235702260396	0.1	0.0
0.05	0.172330082259	0.1	0.000320589980171
0.1	0.127926534696	0.1	0.00115301724398
0.15	0.100436086448	0.1	0.00232824222848
0.2	0.0887320191546	0.1	0.00356780719458
0.25	0.0925089837095	0.1	0.00460267601665
0.3	0.111437687624	0.1	0.00574291973677
0.35	0.148093597947	0.1	0.00988123864742
0.4	0.219306602032	0.1	0.0248001829405
0.45	0.381048708945	0.1	0.0701583413107
0.5	0.773505929596	0.1	0.199731757302
0.55	1.69603023254	0.1	0.535716550429
0.6	3.77820312344	0.1	1.32178235088
0.0	0.235702260396	0.2	0.0
0.05	0.1693265467	0.2	0.000362563400492
0.1	0.124318617948	0.2	0.00131923343105
0.15	0.0978598722398	0.2	0.002628920151
0.2	0.0879968865742	0.2	0.00391256841929
0.25	0.093502293819	0.2	0.00482915540499
0.3	0.111218882275	0.2	0.00568760550186
0.35	0.141337714655	0.2	0.00788414422727
0.4	0.193697378907	0.2	0.0159468430253
0.45	0.296777241129	0.2	0.0403031089066
0.5	0.520686939618	0.2	0.10571412476
0.55	1.01494436666	0.2	0.267260753827
0.6	2.06120976617	0.2	0.633277269109
0.0	0.235702260396	0.3	0.0
0.05	0.1661520984	0.3	0.000418656713255
0.1	0.120810300569	0.3	0.00153180589609
0.15	0.0958938671747	0.3	0.00299865335175
0.2	0.0885928304896	0.3	0.00432216418178
0.25	0.0965519489422	0.3	0.00514893791226
0.3	0.114390352402	0.3	0.00589850742404
0.35	0.140970044737	0.3	0.00731042787956
0.4	0.182517642431	0.3	0.011688257035
0.45	0.255581809065	0.3	0.0250402307771
0.5	0.396391968602	0.3	0.0601059847732
