alpha	RSME	lambda	SE
0.0	0.235702260396	0.0	0.0
0.0	0.235702260396	0.1	0.0
0.0	0.235702260396	0.2	0.0
0.0	0.235702260396	0.3	0.0
0.0	0.235702260396	0.4	0.0
0.0	0.235702260396	0.5	0.0
0.0	0.235702260396	0.6	0.0
0.0	0.235702260396	0.7	0.0
0.0	0.235702260396	0.8	0.0
0.0	0.235702260396	0.9	0.0
0.0	0.235702260396	1.0	0.0
0.05	0.174740999177	0.0	0.000226091653685
0.05	0.171892192822	0.1	0.000254484941371
0.05	0.168913260493	0.2	0.000291090324012
0.05	0.165807578278	0.3	0.000345088316746
0.05	0.162596401647	0.4	0.000430353919447
0.05	0.159338726447	0.5	0.000564518035769
0.05	0.156180287378	0.6	0.000771388921417
0.05	0.153481329979	0.7	0.00109202071827
0.05	0.152194234596	0.8	0.00161708673793
0.05	0.155299498904	0.9	0.00261502759495
0.05	0.178153829938	1.0	0.00532607316827
0.1	0.130382086497	0.0	0.000830303861359
0.1	0.126661663346	0.1	0.000939715094022
0.1	0.12299402268	0.2	0.00107926734082
0.1	0.119473970691	0.3	0.00126238463257
0.1	0.116272392925	0.4	0.0015098313123
0.1	0.113695706302	0.5	0.00185064073968
0.1	0.112316253582	0.6	0.00232601472156
0.1	0.113284382591	0.7	0.00299703471181
0.1	0.119238081484	0.8	0.00395339353719
0.1	0.137680831154	0.9	0.00539992366528
0.1	0.206350055816	1.0	0.0091780431302
0.15	0.10200961227	0.0	0.00181305608591
0.15	0.0986596204021	0.1	0.00199491947835
0.15	0.0957895845878	0.2	0.00224364889533
0.15	0.0935670911913	0.3	0.0025629967293
0.15	0.0923293628771	0.4	0.0029604275182
0.15	0.0926763952131	0.5	0.00344478711094
0.15	0.095636142631	0.6	0.00403353355273
0.15	0.103067774435	0.7	0.00475832472813
0.15	0.118979108643	0.8	0.00565870330938
0.15	0.15496975857	0.9	0.00686326243716
0.15	0.270257014239	1.0	0.0133313263602
0.2	0.0896896518972	0.0	0.00316912506793
0.2	0.0870378126291	0.1	0.00324771010088
0.2	0.0855918101225	0.2	0.00346721386141
0.2	0.0855297529889	0.3	0.00376885896352
0.2	0.0872823389559	0.4	0.00413106179413
0.2	0.091499504966	0.5	0.00456155589512
0.2	0.0992131914378	0.6	0.00508836550109
0.2	0.112534004838	0.7	0.00572987255505
0.2	0.136581799303	0.8	0.00649318553907
0.2	0.187249787471	0.9	0.00766371290355
0.2	0.344873947582	1.0	0.0196210248912
0.25	0.0944822116393	0.0	0.00635511081815
0.25	0.0915429229352	0.1	0.00508148149567
0.25	0.0912105679858	0.2	0.00467387894298
0.25	0.0929763027239	0.3	0.00465281037421
0.25	0.0968898199163	0.4	0.00484475436063
0.25	0.103430068095	0.5	0.00520226950122
0.25	0.113834570146	0.6	0.00569640947721
0.25	0.13082717038	0.7	0.00630021715938
0.25	0.161015089042	0.8	0.00705086917382
0.25	0.225774320001	0.9	0.00859771619052
0.25	0.424646760316	1.0	0.0273865311138
0.3	0.131208792245	0.0	0.0196873110372
0.3	0.116141780349	0.1	0.0121014876724
0.3	0.111310680819	0.2	0.00840272327961
0.3	0.111689901711	0.3	0.00671919971905
0.3	0.115365137432	0.4	0.006088801983
0.3	0.122302754505	0.5	0.00603999141564
0.3	0.133792450299	0.6	0.00635300703964
0.3	0.15323915858	0.7	0.00691696132013
0.3	0.189430267173	0.8	0.00775351936205
0.3	0.26934856399	0.9	0.0102594648833
0.3	0.51437344717	1.0	0.0365495907041
0.35	0.237180488081	0.0	0.0621537710068
0.35	0.182420091174	0.1	0.0357363151174
0.35	0.156159216264	0.2	0.0215500218722
0.35	0.145589738279	0.3	0.0140965210648
0.35	0.143990957939	0.4	0.0102832251444
0.35	0.148410543831	0.5	0.00849945082495
0.35	0.159223529294	0.6	0.00792904756922
0.35	0.180328817773	0.7	0.00815451495779
0.35	0.222944349339	0.8	0.00910585737698
0.35	0.320315351302	0.9	0.0131898173886
0.35	0.627349262287	1.0	0.0502932325691
0.4	0.48271059116	0.0	0.167713618629
0.4	0.326966252983	0.1	0.0960270678068
0.4	0.24907120593	0.2	0.0560329199483
0.4	0.209381555376	0.3	0.033944355338
0.4	0.191519420068	0.4	0.021911168777
0.4	0.187334986666	0.5	0.0154714973258
0.4	0.19432877583	0.6	0.0122632518136
0.4	0.215829938384	0.7	0.0111685553838
0.4	0.265129832413	0.8	0.0120400503402
0.4	0.383916290751	0.9	0.0187188469164
0.4	0.782996471132	1.0	0.0759538037952
0.45	1.03081557854	0.0	0.396680380819
0.45	0.616936404309	0.1	0.225360286246
0.45	0.425253780387	0.2	0.130769383354
0.45	0.32432353768	0.3	0.0772976797452
0.45	0.272148566266	0.4	0.0473503327647
0.45	0.248632172148	0.5	0.0308483210997
0.45	0.245827604356	0.6	0.0220616637191
0.45	0.265564471283	0.7	0.0180904383082
0.45	0.322826189941	0.8	0.0187243837332
0.45	0.471533505414	0.9	0.0311634230316
0.45	0.999211811886	1.0	0.122927572496
0.5	2.1908205748	0.0	0.873736122674
0.5	1.18798272778	0.1	0.474077046676
0.5	0.747348392231	0.2	0.273067997907
0.5	0.525346397851	0.3	0.160129119869
0.5	0.405281092734	0.4	0.0959794115136
0.5	0.346388991596	0.5	0.0600318325816
0.5	0.324318150632	0.6	0.0408205541186
0.5	0.33915811089	0.7	0.0322177195683
0.5	0.410344606982	0.8	0.0340432406555
0.5	0.608978540361	0.9	0.0615599658417
0.5	1.30753319403	1.0	0.202236956127
0.55	4.72217075688	0.0	1.90646148385
0.55	2.26205792824	0.1	0.933747555511
0.55	1.31647167524	0.2	0.520667327695
0.55	0.866429804453	0.3	0.303511021152
0.55	0.621196973048	0.4	0.180993076685
0.55	0.505974942852	0.5	0.111553710785
0.55	0.450140681747	0.6	0.0750214672478
0.55	0.457682778572	0.7	0.0605964793487
0.55	0.557800855374	0.8	0.0696031481085
0.55	0.851734715903	0.9	0.133980559635
0.55	1.82972985156	1.0	0.333396381281
0.6	10.3964048764	0.0	4.24746642791
0.6	4.52394456243	0.1	1.81091751056
0.6	2.32573530335	0.2	0.93367318713
0.6	1.44830894013	0.3	0.533299793351
0.6	1.01511448304	0.4	0.318869871774
0.6	0.800360357432	0.5	0.199484595158
0.6	0.669219046981	0.6	0.139922374828
0.6	0.665320809357	0.7	0.122304152186
0.6	0.830690046584	0.8	0.152669247152
0.6	1.32129599678	0.9	0.29900206081
0.6	2.75513772185	1.0	0.573945163248
