lambda	RSME	alpha	SE
0.0	0.0923922940766	0.2	0.00296790365107
0.1	0.0907529712899	0.2	0.0032842115315
0.2	0.0902494228355	0.2	0.00366095737112
0.3	0.0911136294296	0.2	0.00408879909331
0.4	0.0938305094843	0.2	0.00456460853495
0.5	0.0984322226417	0.15	0.00382595580149
0.6	0.102739247813	0.15	0.00450375942232
0.7	0.111716698611	0.15	0.00536260442641
0.8	0.12698110583	0.1	0.00447247665138
0.9	0.148448589042	0.1	0.00613470595527
1.0	0.189388944539	0.05	0.00587263354798
