alpha	RSME	lambda	SE
0.0	0.235702260396	0.0	0.0
0.05	0.174858297324	0.0	0.000224317453566
0.1	0.130554382132	0.0	0.000820688443449
0.15	0.102431477615	0.0	0.00176992602994
0.2	0.091401300283	0.0	0.00315132272012
0.25	0.0982461534436	0.0	0.00571347293629
0.3	0.126025149952	0.0	0.0114530376426
0.35	0.182541832397	0.0	0.024275517225
0.4	0.288602145455	0.0	0.0518987891317
0.45	0.499562848815	0.0	0.110427670264
0.5	0.923425392139	0.0	0.229438231792
0.55	1.7719038681	0.0	0.459714400305
0.6	3.43633603566	0.0	0.91027918324
0.0	0.235702260396	0.1	0.0
0.05	0.171932002062	0.1	0.000250597972153
0.1	0.12676757465	0.1	0.00092514610336
0.15	0.0993026285584	0.1	0.00195566426871
0.2	0.0893200077143	0.1	0.00323438350598
0.25	0.0956609992696	0.1	0.00499750146544
0.3	0.117867535235	0.1	0.00837796590048
0.35	0.158405990205	0.1	0.0157294290985
0.4	0.226168915323	0.1	0.0306177777245
0.45	0.345566079692	0.1	0.0595749947494
0.5	0.566395658863	0.1	0.115160828275
0.55	0.982113202745	0.1	0.219069164514
0.6	1.77194175852	0.1	0.412696383129
0.0	0.235702260396	0.2	0.0
0.05	0.16882267325	0.2	0.000285494852458
0.1	0.122966982378	0.2	0.00106007962265
0.15	0.0966080011654	0.2	0.00220014309033
0.2	0.088431335167	0.2	0.00345895316239
0.25	0.095599214108	0.2	0.00483147866461
0.3	0.115161342824	0.2	0.00698803639121
0.35	0.147236452329	0.2	0.011439363919
0.4	0.196113296977	0.2	0.02021908117
0.45	0.273823465065	0.2	0.0361645584704
0.5	0.407041778572	0.2	0.064665496924
0.55	0.645820821397	0.2	0.116239312351
0.6	1.07839539895	0.2	0.211764643425
0.0	0.235702260396	0.3	0.0
0.05	0.165526847393	0.3	0.000336668218449
0.1	0.119264774254	0.3	0.0012366301885
0.15	0.0945712823422	0.3	0.00250831576793
0.2	0.08888557195	0.3	0.00377520630121
0.25	0.0976621802581	0.3	0.00493970618389
0.3	0.116125472277	0.3	0.00647005728263
0.35	0.143490869326	0.3	0.00930916546103
0.4	0.181827898595	0.3	0.0148820591903
0.45	0.237870848855	0.3	0.0246733000405
0.5	0.327078504464	0.3	0.0410855389289
0.55	0.479197851675	0.3	0.0695845880345
0.6	0.747852121351	0.3	0.122635894315
0.0	0.235702260396	0.4	0.0
0.05	0.162062075964	0.4	0.000415967523571
0.1	0.115858136683	0.4	0.00147351203833
0.15	0.0935621992162	0.4	0.0028942666837
0.2	0.0910692963359	0.4	0.00416872573315
0.25	0.101956475505	0.4	0.00520814349444
0.3	0.120232523758	0.4	0.00641639165876
0.35	0.144945651618	0.4	0.0083584653316
0.4	0.177203684327	0.4	0.0121228024086
0.45	0.220942832601	0.4	0.0188057234861
0.5	0.286017976657	0.4	0.0296793016683
0.55	0.39251366526	0.4	0.0477070686674
0.6	0.573887626313	0.4	0.0808641492701
0.0	0.235702260396	0.5	0.0
0.05	0.15848649173	0.5	0.00054063569846
0.1	0.113083108485	0.5	0.00180091831675
0.15	0.0941565336456	0.5	0.00338027237983
0.2	0.0956378329132	0.5	0.00463790416853
0.25	0.10901704426	0.5	0.00559344979766
0.3	0.127711599605	0.5	0.00665177032451
0.35	0.151064415969	0.5	0.00812730214871
0.4	0.179936793608	0.5	0.0108462162758
0.45	0.216948704274	0.5	0.0158057771279
0.5	0.268318249601	0.5	0.024047276818
0.55	0.348954832086	0.5	0.0373438452602
0.6	0.484686949068	0.5	0.0606440023288
0.0	0.235702260396	0.6	0.0
0.05	0.154946469835	0.6	0.000738838060183
0.1	0.111526150257	0.6	0.00226807982205
0.15	0.0973066009268	0.6	0.00399110809227
0.2	0.103693615172	0.6	0.00518326765964
0.25	0.119942815599	0.6	0.00608929017677
0.3	0.13976165187	0.6	0.00710504618934
0.35	0.162987632232	0.6	0.0083922704887
0.4	0.190599084631	0.6	0.010556394246
0.45	0.224546659176	0.6	0.0145450253014
0.5	0.269340061174	0.6	0.0213903388562
0.55	0.336124647404	0.6	0.0324588181135
0.6	0.44645548399	0.6	0.0510410578559
0.0	0.235702260396	0.7	0.0
0.05	0.151804338235	0.7	0.00106530032737
0.1	0.112297971557	0.7	0.00295381027055
0.15	0.104824644914	0.7	0.00473694511274
0.2	0.117184613944	0.7	0.00582247639413
