lambda	RSME	SE
0.0	0.0954003956674	0.00528515304195
0.1	0.09711978791	0.00541995752175
0.2	0.0991902144979	0.00557055731154
0.3	0.101666636419	0.00572382386984
0.4	0.104778301272	0.00590682848585
0.5	0.108642999861	0.00611217267895
0.6	0.113777099709	0.00636839785776
0.7	0.120841818543	0.0066611470835
0.8	0.131112335637	0.00697626187689
0.9	0.146088458053	0.00740112204813
1.0	0.17523985503	0.00824767049202
