lambda	RSME	alpha	SE
0.0	0.0922769131355	0.2	0.00324882220704
0.1	0.0906853648544	0.2	0.00348066508658
0.2	0.0903732495305	0.2	0.00381040551481
0.3	0.091576628936	0.2	0.00420450569449
0.4	0.0947476446554	0.2	0.00464703987146
0.5	0.0985748494886	0.15	0.00398144937154
0.6	0.102715099175	0.15	0.00461635292111
0.7	0.111417048697	0.15	0.00538719651903
0.8	0.123482529445	0.1	0.00464420449847
0.9	0.142930056931	0.1	0.0062912348715
1.0	0.184289614993	0.05	0.00670985850359
